prime,divisible_events,event_count,observed_share,uniform_expected_share,observed_to_expected,raw_two_sided_p,holm_adjusted_p,survives_holm_005
2,1557,3103,0.5017724782468579,0.5,1.0035449564937158,0.8575342893259621,1.0,False
3,1008,3103,0.32484692233322593,0.3333333333333333,0.9745407669996777,0.3221344782003044,1.0,False
5,597,3103,0.1923944569771189,0.2,0.9619722848855945,0.3019328565725694,1.0,False
7,449,3103,0.14469867869803416,0.14285714285714285,1.012890750886239,0.7582655604547024,1.0,False
11,241,3103,0.07766677408959072,0.09090909090909091,0.854334514985498,0.009534387507082513,0.05720632504249508,False
13,244,3103,0.07863358040605865,0.07692307692307693,1.0222365452787625,0.7109689181996355,1.0,False
