hole,side,control,hole_mechanism,hole_up_proposals,hole_up_bypassed,control_visited,control_visit_step,control_mechanism,control_up_proposals,control_up_bypassed
1973345,lower,1973344,no_observed_proposal,0,0,False,,bypassed_addition_only,1,1
1973345,upper,1973346,no_observed_proposal,0,0,True,1470188.0,visited_by_down,0,0
1985950,lower,1985949,no_observed_proposal,0,0,False,,no_observed_proposal,0,0
1985950,upper,1985951,no_observed_proposal,0,0,True,1459342.0,visited_by_down,1,1
1986458,lower,1986457,bypassed_addition_only,1,1,False,,no_observed_proposal,0,0
1986458,upper,1986459,bypassed_addition_only,1,1,True,1459098.0,visited_by_down,0,0
1991459,lower,1991458,no_observed_proposal,0,0,False,,bypassed_addition_only,1,1
1991459,upper,1991460,no_observed_proposal,0,0,True,1454100.0,visited_by_down,0,0
1991657,lower,1991656,no_observed_proposal,0,0,False,,bypassed_addition_only,1,1
1991657,upper,1991658,no_observed_proposal,0,0,True,875560.0,visited_by_down,0,0
1993967,lower,1993966,bypassed_addition_only,1,1,False,,no_observed_proposal,0,0
1993967,upper,1993968,bypassed_addition_only,1,1,True,877876.0,visited_by_down,0,0
2015050,lower,2015049,no_observed_proposal,0,0,False,,no_observed_proposal,0,0
2015050,upper,2015051,no_observed_proposal,0,0,True,898966.0,visited_by_down,1,1
2021725,lower,2021724,no_observed_proposal,0,0,False,,bypassed_addition_only,1,1
2021725,upper,2021726,no_observed_proposal,0,0,True,1424760.0,visited_by_down,0,0
2023215,lower,2023214,bypassed_addition_only,1,1,False,,bypassed_addition_only,1,1
2023216,upper,2023217,no_observed_proposal,0,0,True,926702.0,visited_by_down,1,1
2025883,lower,2025882,no_observed_proposal,0,0,False,,no_observed_proposal,0,0
2025883,upper,2025884,no_observed_proposal,0,0,True,934824.0,visited_by_down,2,2
2027638,lower,2027637,no_observed_proposal,0,0,False,,bypassed_addition_only,1,1
2027638,upper,2027639,no_observed_proposal,0,0,True,1418778.0,visited_by_down,1,1
2028646,lower,2028645,no_observed_proposal,0,0,False,,bypassed_addition_only,1,1
2028646,upper,2028647,no_observed_proposal,0,0,True,938242.0,visited_by_down,1,1
2028649,lower,2028648,no_observed_proposal,0,0,False,,bypassed_addition_only,2,2
2028649,upper,2028650,no_observed_proposal,0,0,True,938012.0,visited_by_down,1,1
2028652,lower,2028651,no_observed_proposal,0,0,False,,bypassed_addition_only,3,3
2028652,upper,2028653,no_observed_proposal,0,0,True,937806.0,visited_by_down,1,1
2279065,lower,2279064,no_observed_proposal,0,0,False,,bypassed_addition_only,1,1
2279065,upper,2279066,no_observed_proposal,0,0,True,555111.0,visited_by_down,0,0
3063759,lower,3063758,no_observed_proposal,0,0,False,,no_observed_proposal,0,0
3063760,upper,3063761,no_observed_proposal,0,0,True,1004325.0,visited_by_addition,1,0
3064549,lower,3064548,no_observed_proposal,0,0,False,,no_observed_proposal,0,0
3064549,upper,3064550,no_observed_proposal,0,0,True,1004695.0,visited_by_addition,2,1
3080322,lower,3080321,no_observed_proposal,0,0,False,,no_observed_proposal,0,0
3080322,upper,3080323,no_observed_proposal,0,0,True,633866.0,visited_by_addition,2,1
3257131,lower,3257130,bypassed_addition_only,1,1,False,,no_observed_proposal,0,0
3257131,upper,3257132,bypassed_addition_only,1,1,True,1196527.0,visited_by_down,0,0
3259276,lower,3259275,bypassed_addition_only,1,1,False,,no_observed_proposal,0,0
3259276,upper,3259277,bypassed_addition_only,1,1,True,1198681.0,visited_by_down,0,0
3268723,lower,3268722,no_observed_proposal,0,0,False,,bypassed_addition_only,1,1
3268723,upper,3268724,no_observed_proposal,0,0,True,3180699.0,visited_by_down,0,0
3269020,lower,3269019,no_observed_proposal,0,0,False,,bypassed_addition_only,1,1
3269020,upper,3269021,no_observed_proposal,0,0,True,699438.0,visited_by_addition,1,0
3270415,lower,3270414,no_observed_proposal,0,0,False,,bypassed_addition_only,1,1
3270415,upper,3270416,no_observed_proposal,0,0,True,1209823.0,visited_by_down,0,0
3271819,lower,3271818,no_observed_proposal,0,0,False,,bypassed_addition_only,1,1
3271819,upper,3271820,no_observed_proposal,0,0,True,3179003.0,visited_by_down,0,0
3277660,lower,3277659,bypassed_addition_only,1,1,False,,no_observed_proposal,0,0
3277660,upper,3277661,bypassed_addition_only,1,1,True,3171445.0,visited_by_down,0,0
3281917,lower,3281916,bypassed_addition_only,1,1,False,,no_observed_proposal,0,0
3281917,upper,3281918,bypassed_addition_only,1,1,True,3169103.0,visited_by_down,0,0
3291760,lower,3291759,bypassed_addition_only,1,1,False,,no_observed_proposal,0,0
3291760,upper,3291761,bypassed_addition_only,1,1,True,1231173.0,visited_by_down,0,0
3297142,lower,3297141,no_observed_proposal,0,0,False,,bypassed_addition_only,2,2
3297142,upper,3297143,no_observed_proposal,0,0,True,1236557.0,visited_by_down,0,0
3611395,lower,3611394,no_observed_proposal,0,0,False,,no_observed_proposal,0,0
3611395,upper,3611396,no_observed_proposal,0,0,True,817696.0,visited_by_addition,1,0
3615195,lower,3615194,no_observed_proposal,0,0,False,,no_observed_proposal,0,0
3615195,upper,3615196,no_observed_proposal,0,0,True,819792.0,visited_by_down,0,0
3995454,lower,3995453,no_observed_proposal,0,0,False,,no_observed_proposal,0,0
3995454,upper,3995455,no_observed_proposal,0,0,True,972294.0,visited_by_addition,1,0
5082624,lower,5082623,no_observed_proposal,0,0,False,,no_observed_proposal,0,0
5082624,upper,5082625,no_observed_proposal,0,0,True,1584266.0,visited_by_addition,1,0
5269776,lower,5269775,no_observed_proposal,0,0,False,,no_observed_proposal,0,0
5269776,upper,5269777,no_observed_proposal,0,0,True,1690946.0,visited_by_addition,1,0
5305328,lower,5305327,no_observed_proposal,0,0,False,,no_observed_proposal,0,0
5305328,upper,5305329,no_observed_proposal,0,0,True,1727734.0,visited_by_down,0,0
5914345,lower,5914344,bypassed_addition_only,1,1,False,,bypassed_addition_only,1,1
5914345,upper,5914346,bypassed_addition_only,1,1,True,2382716.0,visited_by_down,0,0
5914348,lower,5914347,bypassed_addition_only,1,1,False,,bypassed_addition_only,2,2
5914348,upper,5914349,bypassed_addition_only,1,1,True,2380502.0,visited_by_down,0,0
5921122,lower,5921121,no_observed_proposal,0,0,False,,no_observed_proposal,0,0
5921122,upper,5921123,no_observed_proposal,0,0,True,2392018.0,visited_by_down,1,1
5921821,lower,5921820,no_observed_proposal,0,0,False,,bypassed_addition_only,1,1
5921821,upper,5921822,no_observed_proposal,0,0,True,2392720.0,visited_by_down,0,0
5924091,lower,5924090,bypassed_addition_only,1,1,False,,no_observed_proposal,0,0
5924091,upper,5924092,bypassed_addition_only,1,1,True,2395064.0,visited_by_down,0,0
5953449,lower,5953448,no_observed_proposal,0,0,False,,bypassed_addition_only,1,1
5953449,upper,5953450,no_observed_proposal,0,0,True,2473092.0,visited_by_down,1,1
5969199,lower,5969198,bypassed_addition_only,1,1,False,,no_observed_proposal,0,0
5969199,upper,5969200,bypassed_addition_only,1,1,True,5498616.0,visited_by_down,0,0
6073164,lower,6073163,no_observed_proposal,0,0,False,,no_observed_proposal,0,0
6073164,upper,6073165,no_observed_proposal,0,0,True,2603018.0,visited_by_down,1,1
6075399,lower,6075398,no_observed_proposal,0,0,False,,bypassed_addition_only,1,1
6075399,upper,6075400,no_observed_proposal,0,0,True,2605328.0,visited_by_down,0,0
6121476,lower,6121475,no_observed_proposal,0,0,False,,no_observed_proposal,0,0
6121476,upper,6121477,no_observed_proposal,0,0,True,5152494.0,visited_by_down,1,1
6129471,lower,6129470,no_observed_proposal,0,0,False,,no_observed_proposal,0,0
6129471,upper,6129472,no_observed_proposal,0,0,True,2666740.0,visited_by_down,1,1
6139797,lower,6139796,no_observed_proposal,0,0,False,,bypassed_addition_only,1,1
6139797,upper,6139798,no_observed_proposal,0,0,True,5107888.0,visited_by_down,0,0
6159066,lower,6159065,bypassed_addition_only,1,1,False,,no_observed_proposal,0,0
6159066,upper,6159067,bypassed_addition_only,1,1,True,5035638.0,visited_by_down,0,0
6166650,lower,6166649,bypassed_addition_only,1,1,False,,no_observed_proposal,0,0
6166650,upper,6166651,bypassed_addition_only,1,1,True,5028218.0,visited_by_down,0,0
6166917,lower,6166916,bypassed_addition_only,1,1,False,,no_observed_proposal,0,0
6166917,upper,6166918,bypassed_addition_only,1,1,True,5027948.0,visited_by_down,0,0
6980598,lower,6980597,no_observed_proposal,0,0,False,,no_observed_proposal,0,0
6980598,upper,6980599,no_observed_proposal,0,0,True,1700917.0,visited_by_addition,1,0
6988248,lower,6988247,no_observed_proposal,0,0,False,,no_observed_proposal,0,0
6988248,upper,6988249,no_observed_proposal,0,0,True,1705213.0,visited_by_down,0,0
7033062,lower,7033061,no_observed_proposal,0,0,False,,no_observed_proposal,0,0
7033062,upper,7033063,no_observed_proposal,0,0,True,1727733.0,visited_by_down,0,0
7242171,lower,7242170,no_observed_proposal,0,0,False,,no_observed_proposal,0,0
7242171,upper,7242172,no_observed_proposal,0,0,True,1833675.0,visited_by_down,0,0
7255317,lower,7255316,no_observed_proposal,0,0,False,,no_observed_proposal,0,0
7255317,upper,7255318,no_observed_proposal,0,0,True,1846859.0,visited_by_down,0,0
7710048,lower,7710047,no_observed_proposal,0,0,False,,no_observed_proposal,0,0
7710048,upper,7710049,no_observed_proposal,0,0,True,1421038.0,visited_by_addition,1,0
7808589,lower,7808588,no_observed_proposal,0,0,False,,no_observed_proposal,0,0
7808589,upper,7808590,no_observed_proposal,0,0,True,1454264.0,visited_by_addition,1,0
9159087,lower,9159086,no_observed_proposal,0,0,False,,no_observed_proposal,0,0
9159087,upper,9159088,no_observed_proposal,0,0,True,2874347.0,visited_by_addition,1,0
9574813,lower,9574812,bypassed_addition_only,1,1,False,,no_observed_proposal,0,0
9574813,upper,9574814,bypassed_addition_only,1,1,True,3129359.0,visited_by_down,0,0
9577861,lower,9577860,bypassed_addition_only,1,1,True,3132611.0,visited_by_down,0,0
9577861,upper,9577862,bypassed_addition_only,1,1,True,3132411.0,visited_by_down,1,1
9580539,lower,9580538,no_observed_proposal,0,0,False,,no_observed_proposal,0,0
9580539,upper,9580540,no_observed_proposal,0,0,True,3135583.0,visited_by_down,0,0
9585306,lower,9585305,no_observed_proposal,0,0,False,,no_observed_proposal,0,0
9585306,upper,9585307,no_observed_proposal,0,0,True,3140505.0,visited_by_down,0,0
